date,sales
2022-01-01,186.16
2022-01-02,184.52
2022-01-03,208.87
2022-01-04,234.11
2022-01-05,221.25
2022-01-06,211.28
2022-01-07,212.91
2022-01-08,194.82
2022-01-09,187.16
2022-01-10,213.76
2022-01-11,220.18
2022-01-12,224.86
2022-01-13,221.95
2022-01-14,183.88
2022-01-15,175.77
2022-01-16,192.09
2022-01-17,204.05
2022-01-18,233.78
2022-01-19,226.23
2022-01-20,211.18
2022-01-21,223.42
2022-01-22,196.49
2022-01-23,204.09
2022-01-24,205.6
2022-01-25,230.83
2022-01-26,242.04
2022-01-27,219.38
2022-01-28,218.07
2022-01-29,198.25
2022-01-30,205.97
2022-01-31,219.27
2022-02-01,260.2
2022-02-02,246.15
2022-02-03,225.63
2022-02-04,227.81
2022-02-05,197.29
2022-02-06,216.17
2022-02-07,210.83
2022-02-08,233.49
2022-02-09,253.31
2022-02-10,248.59
2022-02-11,226.25
2022-02-12,213.24
2022-02-13,215.91
2022-02-14,220.44
2022-02-15,244.31
2022-02-16,251.41
2022-02-17,256.4
2022-02-18,232.54
2022-02-19,201.27
2022-02-20,226.61
2022-02-21,235.76
2022-02-22,249.07
2022-02-23,266.4
2022-02-24,260.34
2022-02-25,242.55
2022-02-26,214.58
2022-02-27,224.28
2022-02-28,246.86
2022-03-01,269.46
2022-03-02,259.28
2022-03-03,251.9
2022-03-04,225.83
2022-03-05,214.59
2022-03-06,239.01
2022-03-07,260.55
2022-03-08,262.35
2022-03-09,277.4
2022-03-10,260.59
2022-03-11,233.59
2022-03-12,233.24
2022-03-13,249.26
2022-03-14,249.54
2022-03-15,281.55
2022-03-16,243.93
2022-03-17,267.88
2022-03-18,243.51
2022-03-19,229.15
2022-03-20,237.24
2022-03-21,232.38
2022-03-22,265.99
2022-03-23,275.9
2022-03-24,276.56
2022-03-25,239.49
2022-03-26,226.02
2022-03-27,233.18
2022-03-28,263.21
2022-03-29,273.19
2022-03-30,268.66
2022-03-31,268.46
2022-04-01,247.11
2022-04-02,245.17
2022-04-03,232.47
2022-04-04,251.99
2022-04-05,267.11
2022-04-06,260.37
2022-04-07,267.25
2022-04-08,249.63
2022-04-09,236.33
2022-04-10,237.87
2022-04-11,241.75
2022-04-12,267.38
2022-04-13,272.05
2022-04-14,256.65
2022-04-15,245.72
2022-04-16,240.55
2022-04-17,259.22
2022-04-18,257.71
2022-04-19,274.14
2022-04-20,274.64
2022-04-21,245.31
2022-04-22,246.81
2022-04-23,236.77
2022-04-24,264.57
2022-04-25,253.55
2022-04-26,274.01
2022-04-27,274.39
2022-04-28,252.09
2022-04-29,257.7
2022-04-30,242.82
2022-05-01,246.9
2022-05-02,245.35
2022-05-03,283.93
2022-05-04,259.54
2022-05-05,268.4
2022-05-06,266.86
2022-05-07,224.0
2022-05-08,231.87
2022-05-09,253.92
2022-05-10,263.27
2022-05-11,256.39
2022-05-12,261.49
2022-05-13,232.54
2022-05-14,236.79
2022-05-15,226.42
2022-05-16,266.43
2022-05-17,258.42
2022-05-18,266.57
2022-05-19,266.77
2022-05-20,228.62
2022-05-21,232.03
2022-05-22,246.33
2022-05-23,232.46
2022-05-24,265.64
2022-05-25,269.87
2022-05-26,263.88
2022-05-27,225.94
2022-05-28,213.88
2022-05-29,235.76
2022-05-30,248.73
2022-05-31,263.48
2022-06-01,267.88
2022-06-02,246.36
2022-06-03,237.68
2022-06-04,227.03
2022-06-05,220.36
2022-06-06,261.34
2022-06-07,262.6
2022-06-08,249.34
2022-06-09,256.53
2022-06-10,222.39
2022-06-11,228.71
2022-06-12,235.8
2022-06-13,231.16
2022-06-14,264.14
2022-06-15,262.0
2022-06-16,254.78
2022-06-17,247.67
2022-06-18,214.92
2022-06-19,213.19
2022-06-20,226.96
2022-06-21,242.83
2022-06-22,253.56
2022-06-23,246.41
2022-06-24,227.89
2022-06-25,222.05
2022-06-26,217.25
2022-06-27,246.77
2022-06-28,244.71
2022-06-29,277.89
2022-06-30,245.6
2022-07-01,212.9
2022-07-02,199.42
2022-07-03,218.29
2022-07-04,226.34
2022-07-05,250.83
2022-07-06,251.76
2022-07-07,234.96
2022-07-08,209.34
2022-07-09,191.32
2022-07-10,205.35
2022-07-11,233.5
2022-07-12,242.2
2022-07-13,230.95
2022-07-14,233.81
2022-07-15,218.07
2022-07-16,194.05
2022-07-17,207.79
2022-07-18,221.97
2022-07-19,225.1
2022-07-20,243.48
2022-07-21,234.2
2022-07-22,221.59
2022-07-23,210.0
2022-07-24,189.07
2022-07-25,208.63
2022-07-26,238.33
2022-07-27,241.72
2022-07-28,230.46
2022-07-29,246.03
2022-07-30,201.94
2022-07-31,211.01
2022-08-01,224.4
2022-08-02,236.58
2022-08-03,230.35
2022-08-04,229.86
2022-08-05,196.78
2022-08-06,190.91
2022-08-07,191.89
2022-08-08,212.81
2022-08-09,250.4
2022-08-10,212.06
2022-08-11,226.41
2022-08-12,185.71
2022-08-13,185.94
2022-08-14,205.07
2022-08-15,210.12
2022-08-16,214.01
2022-08-17,221.18
2022-08-18,224.0
2022-08-19,192.24
2022-08-20,190.59
2022-08-21,192.46
2022-08-22,200.85
2022-08-23,244.18
2022-08-24,232.68
2022-08-25,195.03
2022-08-26,199.55
2022-08-27,180.02
2022-08-28,198.8
2022-08-29,197.78
2022-08-30,220.0
2022-08-31,229.87
2022-09-01,222.48
2022-09-02,184.29
2022-09-03,181.97
2022-09-04,184.29
2022-09-05,198.0
2022-09-06,237.7
2022-09-07,227.84
2022-09-08,200.26
2022-09-09,204.6
2022-09-10,205.74
2022-09-11,198.64
2022-09-12,188.69
2022-09-13,214.63
2022-09-14,235.97
2022-09-15,205.38
2022-09-16,199.52
2022-09-17,192.01
2022-09-18,178.86
2022-09-19,203.19
2022-09-20,187.05
2022-09-21,213.12
2022-09-22,210.07
2022-09-23,182.83
2022-09-24,200.89
2022-09-25,174.22
2022-09-26,199.86
2022-09-27,221.32
2022-09-28,238.41
2022-09-29,198.96
2022-09-30,207.74
2022-10-01,185.55
2022-10-02,179.67
2022-10-03,209.93
2022-10-04,223.13
2022-10-05,219.21
2022-10-06,215.31
2022-10-07,193.64
2022-10-08,188.05
2022-10-09,197.66
2022-10-10,222.8
2022-10-11,210.48
2022-10-12,248.34
2022-10-13,196.97
2022-10-14,197.93
2022-10-15,194.84
2022-10-16,195.96
2022-10-17,202.91
2022-10-18,223.06
2022-10-19,224.44
2022-10-20,213.04
2022-10-21,210.47
2022-10-22,195.13
2022-10-23,188.91
2022-10-24,220.89
2022-10-25,231.05
2022-10-26,240.41
2022-10-27,228.22
2022-10-28,196.75
2022-10-29,189.1
2022-10-30,206.53
2022-10-31,221.3
2022-11-01,231.13
2022-11-02,236.9
2022-11-03,238.21
2022-11-04,202.71
2022-11-05,203.83
2022-11-06,200.76
2022-11-07,216.81
2022-11-08,246.19
2022-11-09,247.91
2022-11-10,237.57
2022-11-11,225.75
2022-11-12,202.7
2022-11-13,213.8
2022-11-14,220.15
2022-11-15,242.77
2022-11-16,242.74
2022-11-17,234.85
2022-11-18,223.15
2022-11-19,198.87
2022-11-20,232.53
2022-11-21,217.87
2022-11-22,232.13
2022-11-23,260.42
2022-11-24,246.65
2022-11-25,228.34
2022-11-26,218.29
2022-11-27,216.48
2022-11-28,224.01
2022-11-29,250.12
2022-11-30,247.21
2022-12-01,253.67
2022-12-02,225.86
2022-12-03,209.03
2022-12-04,218.71
2022-12-05,242.47
2022-12-06,249.13
2022-12-07,251.2
2022-12-08,251.84
2022-12-09,235.29
2022-12-10,217.76
2022-12-11,222.79
2022-12-12,246.28
2022-12-13,245.93
2022-12-14,251.02
2022-12-15,247.91
2022-12-16,236.44
2022-12-17,231.69
2022-12-18,248.03
2022-12-19,258.33
2022-12-20,264.63
2022-12-21,270.74
2022-12-22,250.93
2022-12-23,244.26
2022-12-24,231.59
2022-12-25,242.41
2022-12-26,247.4
2022-12-27,277.35
2022-12-28,292.2
2022-12-29,265.82
2022-12-30,254.42
2022-12-31,247.34
2023-01-01,241.14
2023-01-02,263.88
2023-01-03,278.26
2023-01-04,283.82
2023-01-05,265.14
2023-01-06,256.61
2023-01-07,251.38
2023-01-08,265.62
2023-01-09,277.18
2023-01-10,305.6
2023-01-11,281.1
2023-01-12,287.52
2023-01-13,264.11
2023-01-14,274.19
2023-01-15,248.9
2023-01-16,265.05
2023-01-17,283.92
2023-01-18,273.35
2023-01-19,279.33
2023-01-20,260.46
2023-01-21,259.54
2023-01-22,266.13
2023-01-23,297.91
2023-01-24,305.09
2023-01-25,294.47
2023-01-26,281.22
2023-01-27,278.55
2023-01-28,250.39
2023-01-29,286.54
2023-01-30,296.42
2023-01-31,296.33
2023-02-01,288.51
2023-02-02,309.1
2023-02-03,277.81
2023-02-04,281.24
2023-02-05,257.51
2023-02-06,283.82
2023-02-07,306.22
2023-02-08,311.21
2023-02-09,296.11
2023-02-10,290.18
2023-02-11,263.14
2023-02-12,276.93
2023-02-13,295.86
2023-02-14,316.1
2023-02-15,322.59
2023-02-16,294.05
2023-02-17,273.24
2023-02-18,291.16
2023-02-19,286.19
2023-02-20,291.62
2023-02-21,330.86
2023-02-22,320.95
2023-02-23,321.35
2023-02-24,293.45
2023-02-25,303.12
2023-02-26,304.48
2023-02-27,300.62
2023-02-28,328.99
2023-03-01,330.12
2023-03-02,327.04
2023-03-03,286.85
2023-03-04,293.03
2023-03-05,301.1
2023-03-06,289.03
2023-03-07,310.89
2023-03-08,306.64
2023-03-09,313.95
2023-03-10,306.89
2023-03-11,304.34
2023-03-12,294.32
2023-03-13,325.9
2023-03-14,311.83
2023-03-15,312.83
2023-03-16,318.85
2023-03-17,306.24
2023-03-18,291.59
2023-03-19,275.43
2023-03-20,311.16
2023-03-21,314.95
2023-03-22,338.85
2023-03-23,325.27
2023-03-24,295.12
